Fecha,Presentación,Origen,Precio Mín,Precio Max,Precio Frec,Obs.
Hortalizas,,,,,,
02/01/2025,Caja de 20 kg.,Morelos,350,400,370,CAJA DE PLASTICO
03/01/2025,Caja de 20 kg.,Morelos,350,400,370,CAJA DE PLASTICO
06/01/2025,Caja de 20 kg.,Morelos,280,350,350,CAJA DE PLASTICO
07/01/2025,Caja de 20 kg.,Morelos,350,400,400,
08/01/2025,Caja de 20 kg.,Morelos,380,420,400,
09/01/2025,Caja de 20 kg.,Morelos,380,420,400,CAJA DE PLASTICO
10/01/2025,Caja de 20 kg.,Morelos,380,420,400,CAJA DE PLASTICO
13/01/2025,Caja de 20 kg.,Morelos,380,450,400,CAJA DE PLASTICO
14/01/2025,Caja de 20 kg.,Morelos,380,450,400,CAJA DE PLASTICO
15/01/2025,Caja de 20 kg.,Morelos,380,450,400,CAJA DE PLASTICO
16/01/2025,Caja de 20 kg.,Morelos,380,450,400,CAJA DE PLASTICO
17/01/2025,Caja de 20 kg.,Morelos,380,450,400,CAJA DE PLASTICO
20/01/2025,Caja de 20 kg.,Sinaloa,250,300,280,CAJA DE PLASTICO
21/01/2025,Caja de 20 kg.,Sinaloa,250,300,280,CAJA DE PLASTICO
22/01/2025,Caja de 20 kg.,Sinaloa,250,300,280,CAJA DE PLASTICO
23/01/2025,Caja de 20 kg.,Sinaloa,250,300,280,CAJA DE PLASTICO
24/01/2025,Caja de 20 kg.,Sinaloa,220,250,230,CAJA DE PLASTICO
27/01/2025,Caja de 20 kg.,Sinaloa,150,200,180,CAJA DE PLASTICO
28/01/2025,Caja de 20 kg.,Sinaloa,150,200,180,CAJA DE PLASTICO
29/01/2025,Caja de 20 kg.,Sinaloa,150,200,180,CAJA DE PLASTICO
30/01/2025,Caja de 20 kg.,Sinaloa,150,200,180,CAJA DE PLASTICO
31/01/2025,Caja de 20 kg.,Sinaloa,150,200,180,CAJA DE PLAASTICO
04/02/2025,Caja de 20 kg.,Sinaloa,180,230,200,CAJA DE PLASTICO
05/02/2025,Caja de 20 kg.,Sinaloa,200,230,220,CAJA DE PLASTICO
06/02/2025,Caja de 20 kg.,Sinaloa,200,230,220,CAJA DE PLASTICO
07/02/2025,Caja de 20 kg.,Sinaloa,200,230,220,CAJA DE PLASTICO
10/02/2025,Caja de 20 kg.,Sinaloa,150,200,180,CAJA DE PLASTICO
11/02/2025,Caja de 20 kg.,Sinaloa,150,180,150,CAJA DE PLASTICO
12/02/2025,Caja de 20 kg.,Sinaloa,150,180,150,CAJA DE PLASTICO
13/02/2025,Caja de 20 kg.,Sinaloa,150,180,150,CAJA DE PLASTICO
14/02/2025,Caja de 20 kg.,Sinaloa,150,180,150,CAJA DE PLASTICO
17/02/2025,Caja de 20 kg.,Sinaloa,150,180,150,CAJA DE PLASTICO
18/02/2025,Caja de 20 kg.,Sinaloa,150,180,150,CAJA DE PLASTICO
19/02/2025,Caja de 20 kg.,Sinaloa,150,180,150,
20/02/2025,Caja de 20 kg.,Sinaloa,150,180,150,CAJA DE PLASTICO
21/02/2025,Caja de 20 kg.,Sinaloa,150,180,150,CAJA DE PLASTICO
24/02/2025,Caja de 20 kg.,Sinaloa,130,180,150,CAJA DE PLASTICO
25/02/2025,Caja de 20 kg.,Sinaloa,130,180,150,CAJA DE PLASTICO
26/02/2025,Caja de 20 kg.,Sinaloa,130,180,150,CAJA DE PLASTICO
27/02/2025,Caja de 20 kg.,Sinaloa,160,180,160,CAJA DE PLASTICO
28/02/2025,Caja de 20 kg.,Sinaloa,160,180,160,CAJA DE PLASTICO
03/03/2025,Caja de 20 kg.,Sinaloa,220,280,280,CAJA DE PLASTICO
04/03/2025,Caja de 20 kg.,Sinaloa,220,280,280,CAJA DE PLASTICO
05/03/2025,Caja de 20 kg.,Sinaloa,220,280,280,CAJA DE PLASTICO
06/03/2025,Caja de 20 kg.,Sinaloa,220,280,280,CAJA DE PLASTICO
07/03/2025,Caja de 20 kg.,Sinaloa,220,280,280,CAJA DE PLASTICO
10/03/2025,Caja de 20 kg.,Morelos,250,300,270,CAJA DE PLASTICO INVERNADERO
11/03/2025,Caja de 20 kg.,Morelos,250,300,270,CAJA DE PLASTICO INVERNADERO
12/03/2025,Caja de 20 kg.,Morelos,250,300,270,CAJA DE PLASTICO INVERNADERO
13/03/2025,Caja de 20 kg.,Morelos,250,300,270,CAJA DE PLASTICO INVERNADERO
